138	Debugging	727	982	7	2	282	239	1	1	
139	Debugging	725	981	7	3	280	242	1	1	
140	Debugging	725	980	7	3	278	244	1	1	
141	Debugging	726	973	7	4	278	244	1	3	
142	Debugging	726	980	7	5	278	243	1	2	
143	Debugging	726	979	7	5	277	244	1	1	
144	Debugging	727	981	7	3	278	242	1	1	
145	Debugging	725	985	6	4	280	242	1	1	
146	Debugging	726	977	7	4	280	242	1	1	
147	Debugging	728	978	36	4	280	242	44	1	
148	Debugging	722	977	129	106	284	242	169	147	
149	Debugging	722	977	312	352	283	243	345	409	
150	Debugging	721	976	398	487	281	246	422	504	
151	Debugging	724	970	452	511	281	245	465	509	
152	Debugging	725	971	477	513	281	245	483	510	
153	Debugging	725	964	488	512	281	244	492	510	
154	Debugging	726	967	491	509	281	243	494	506	
155	Debugging	727	966	496	510	283	247	489	507	
156	Debugging	730	963	510	497	279	246	448	488	
157	Debugging	729	969	434	456	279	245	419	441	
158	Debugging	730	964	329	373	279	244	309	348	
159	Debugging	729	966	203	265	278	246	178	239	
160	Debugging	727	967	103	188	277	248	85	167	
161	Debugging	726	966	52	109	277	249	47	94	
162	Debugging	726	963	27	75	277	248	23	68	
163	Debugging	726	970	17	47	277	242	17	38	
164	Debugging	728	974	11	30	278	241	10	27	
165	Debugging	729	974	8	21	279	243	5	18	
166	Debugging	730	974	7	17	279	242	3	14	
167	Debugging	728	980	6	12	279	242	2	8	
168	Debugging	729	979	6	9	279	243	2	7	
169	Debugging	729	982	6	6	278	243	1	4	
170	Debugging	729	985	6	6	277	245	1	2	
171	Debugging	728	984	6	5	277	245	1	2	
172	Debugging	728	985	7	4	277	245	1	2	
173	Debugging	728	979	7	4	277	244	1	1	
174	Debugging	726	981	7	4	278	243	1	1	
175	Debugging	725	980	7	5	279	241	1	1	
176	Debugging	727	977	7	4	278	241	1	1	
177	Debugging	727	981	6	3	278	240	1	1	
178	Debugging	727	981	7	3	278	240	1	1	
179	Debugging	727	982	8	4	277	241	1	1	
180	Debugging	728	975	7	4	276	243	1	2	
181	Debugging	728	974	7	4	277	242	1	1	
182	Debugging	728	975	6	4	277	242	1	2	
183	Debugging	729	967	7	3	277	244	1	2	
184	Debugging	729	969	7	3	279	243	1	1	
185	Debugging	729	970	6	2	280	243	1	1	
186	Debugging	730	969	7	3	280	243	1	1	
187	Debugging	729	973	6	3	281	240	1	1	
188	Debugging	729	973	7	4	281	240	1	1	
189	Debugging	728	972	7	3	280	241	1	1	
190	Debugging	729	974	7	3	279	243	1	1	
191	Debugging	727	979	7	4	279	243	1	1	
192	Debugging	727	981	6	4	280	242	1	1	
193	Debugging	727	980	6	5	280	242	1	1	
194	Debugging	727	980	6	4	281	241	1	1	
195	Debugging	727	968	7	4	282	244	1	1	
196	Debugging	726	972	7	3	282	244	1	1	
197	Debugging	726	978	7	4	282	245	1	1	
198	Debugging	727	972	7	4	282	244	1	1	
199	Debugging	729	969	7	4	281	245	1	2	
200	Debugging	728	963	7	4	280	246	1	1	
201	Debugging	726	964	7	5	279	247	1	2	
202	Debugging	725	961	7	5	281	252	2	2	
203	Debugging	711	945	8	5	288	261	2	2	
204	Debugging	687	910	8	7	302	271	2	2	
