157	Debugging	-209	-147	169	171	3512	3631	1493	1505	
158	Debugging	-208	-146	169	171	3511	3631	1492	1510	
159	Debugging	-210	-117	169	168	3511	3599	1491	1492	
160	Debugging	-152	-6	156	140	3448	3476	1408	1291	
161	Debugging	-115	100	147	122	3404	3345	1293	1090	
162	Debugging	-121	104	162	142	3405	3336	1402	1199	
163	Debugging	-128	99	167	168	3408	3337	1475	1457	
164	Debugging	-134	93	167	169	3407	3339	1477	1489	
165	Debugging	-107	88	160	169	3370	3339	1431	1491	
166	Debugging	-61	108	147	166	3311	3309	1316	1470	
167	Debugging	-5	122	137	152	3224	3279	1227	1369	
168	Debugging	-7	55	129	142	3178	3328	1152	1268	
169	Debugging	4	-9	123	137	3112	3364	1094	1217	
170	Debugging	59	26	120	131	2991	3268	1062	1165	
171	Debugging	111	69	117	125	2855	3144	1041	1116	
172	Debugging	160	112	111	119	2704	3008	990	1062	
173	Debugging	176	150	105	113	2576	2851	933	1007	
174	Debugging	169	163	99	105	2455	2699	880	942	
175	Debugging	154	150	92	99	2343	2567	827	883	
176	Debugging	136	134	86	92	2237	2430	773	823	
177	Debugging	123	123	82	86	2128	2295	729	768	
178	Debugging	111	113	78	81	2015	2161	694	720	
179	Debugging	102	104	74	76	1903	2032	662	681	
180	Debugging	93	96	70	72	1800	1903	624	638	
181	Debugging	84	88	66	68	1702	1788	592	605	
182	Debugging	80	82	63	65	1611	1687	559	577	
183	Debugging	74	78	60	62	1530	1593	531	553	
184	Debugging	68	77	57	60	1458	1511	506	533	
185	Debugging	64	71	54	58	1386	1444	486	516	
186	Debugging	60	67	52	56	1316	1377	464	497	
187	Debugging	57	64	49	53	1253	1315	441	472	
188	Debugging	55	61	47	50	1193	1258	420	449	
189	Debugging	52	59	45	48	1137	1203	403	427	
190	Debugging	48	57	43	45	1082	1151	384	404	
191	Debugging	47	55	41	43	1033	1100	368	387	
192	Debugging	46	52	40	41	986	1048	354	370	
193	Debugging	45	51	38	40	939	996	338	354	
194	Debugging	44	49	36	38	897	948	323	338	
195	Debugging	41	47	35	36	861	904	310	322	
196	Debugging	40	45	33	35	825	862	298	309	
197	Debugging	38	43	32	33	794	826	287	297	
198	Debugging	36	41	31	32	765	791	277	287	
199	Debugging	34	40	30	31	736	759	266	276	
200	Debugging	31	39	29	30	708	730	256	268	
201	Debugging	29	36	27	29	682	704	247	259	
202	Debugging	29	36	27	28	657	679	241	252	
203	Debugging	27	34	26	27	630	657	235	246	
204	Debugging	27	33	26	27	603	636	228	238	
205	Debugging	27	31	25	26	575	614	221	232	
206	Debugging	27	30	24	25	547	594	214	228	
