158	Debugging	2945	2425	11	10	-211	-113	9	11	
159	Debugging	2947	2426	12	15	-211	-113	12	14	
160	Debugging	2917	2399	16	21	-212	-113	16	21	
161	Debugging	2790	2281	21	26	-207	-121	20	27	
162	Debugging	2558	2100	31	37	-198	-127	31	40	
163	Debugging	2283	1892	45	56	-191	-124	45	65	
164	Debugging	1983	1661	64	80	-181	-121	64	89	
165	Debugging	1671	1422	81	127	-170	-116	81	139	
166	Debugging	1350	1174	124	197	-164	-102	134	216	
167	Debugging	1018	913	186	248	-155	-87	199	261	
168	Debugging	710	673	239	264	-138	-82	246	268	
169	Debugging	496	516	230	235	-121	-75	221	230	
170	Debugging	383	419	198	194	-105	-67	187	192	
171	Debugging	310	348	166	159	-84	-68	156	158	
172	Debugging	256	292	140	127	-65	-69	131	128	
173	Debugging	215	244	115	99	-53	-63	103	99	
174	Debugging	181	206	87	70	-39	-60	71	68	
175	Debugging	157	176	56	41	-26	-56	41	32	
176	Debugging	135	152	27	23	-21	-45	12	6	
177	Debugging	116	135	16	19	-16	-36	2	2	
178	Debugging	102	119	18	19	-9	-30	3	2	
179	Debugging	91	104	24	18	-2	-27	4	3	
180	Debugging	83	94	27	21	3	-25	4	3	
181	Debugging	76	84	30	22	17	-29	5	3	
182	Debugging	69	75	33	24	32	-32	5	4	
183	Debugging	64	67	35	25	44	-31	6	4	
184	Debugging	60	61	38	27	56	-30	6	4	
185	Debugging	57	56	39	28	68	-29	6	4	
186	Debugging	51	52	42	30	76	-25	7	4	
187	Debugging	47	47	46	31	84	-21	7	4	
188	Debugging	45	44	50	31	93	-18	8	5	
189	Debugging	42	42	52	31	99	-15	8	4	
190	Debugging	38	37	54	30	105	-13	9	5	
191	Debugging	34	34	55	30	114	-14	9	5	
192	Debugging	31	31	56	31	122	-15	9	5	
193	Debugging	29	28	58	31	129	-15	9	5	
194	Debugging	28	25	60	32	136	-14	10	5	
195	Debugging	26	22	63	32	142	-15	10	5	
196	Debugging	23	18	63	32	146	-14	10	5	
197	Debugging	22	16	63	32	150	-12	10	5	
198	Debugging	23	15	65	33	155	-12	10	5	
199	Debugging	23	14	66	34	157	-13	10	5	
200	Debugging	23	13	66	35	161	-12	10	5	
201	Debugging	21	12	67	35	164	-13	10	5	
202	Debugging	20	10	66	37	165	-14	10	6	
203	Debugging	19	9	64	37	166	-14	10	6	
204	Debugging	18	8	65	36	167	-15	10	6	
205	Debugging	16	7	64	37	166	-15	10	6	
206	Debugging	16	7	64	39	165	-16	10	6	
207	Debugging	14	7	63	38	164	-15	10	6	
