41	31	0	9	1	0	0	51	35	
42	32	0	5	1	1	0	47	38	
43	33	1	10	1	0	0	43	38	
44	47	2	10	1	0	0	39	37	
45	74	6	6	1	0	1	33	36	
46	95	9	10	1	1	1	27	36	
47	99	11	14	1	1	0	23	33	
48	96	13	19	1	1	0	21	29	
49	92	14	7	1	0	1	18	26	
50	87	15	6	1	1	1	14	16	
51	85	15	9	1	1	1	12	10	
52	87	16	7	1	1	1	11	1	
53	82	16	13	1	1	1	11	2	
54	74	15	15	1	1	1	8	3	
55	76	16	6	1	1	1	7	2	
56	78	15	5	1	1	0	6	2	
57	79	15	8	1	1	1	5	0	
58	80	14	6	1	1	0	5	1	
59	81	15	9	1	1	1	4	1	
60	82	15	10	1	1	1	4	1	
61	80	14	8	2	1	1	4	2	
62	78	12	8	1	1	1	3	2	
63	77	12	10	1	1	1	3	1	
64	75	12	10	1	1	0	3	1	
65	74	12	7	1	1	1	3	1	
66	69	11	10	1	1	1	2	1	
67	64	11	18	1	1	1	2	1	
68	62	11	17	1	1	1	2	1	
69	61	10	11	1	1	1	1	1	
70	58	10	7	1	1	1	2	1	
71	57	9	7	1	1	1	2	1	
72	57	10	11	1	1	1	1	1	
73	56	11	15	1	1	1	1	1	
74	55	12	10	1	1	1	2	1	
75	53	12	5	1	1	1	2	1	
76	52	12	4	1	1	1	2	0	
77	50	11	6	1	1	1	2	0	
78	49	11	11	1	1	1	2	1	
79	48	10	15	1	1	1	2	1	
80	47	8	10	1	1	1	2	1	
81	46	8	8	1	1	1	2	1	
82	45	9	11	1	1	1	2	1	
83	43	8	21	1	1	1	2	0	
84	43	8	11	1	1	1	2	1	
85	41	9	8	1	1	1	2	1	
86	39	8	10	1	1	1	2	1	
87	38	8	10	1	1	1	1	1	
88	38	9	8	1	1	1	1	1	
89	38	10	5	1	1	1	1	1	
90	36	10	2	1	1	1	0	2	
91	36	9	7	0	1	1	1	2	
92	35	8	11	0	1	1	2	1	
93	34	8	21	1	1	1	2	1	
94	33	8	14	1	1	1	1	1	
95	33	8	14	1	1	1	1	1	
96	32	9	12	1	1	2	1	1	
97	33	9	8	1	1	1	0	1	
98	32	9	8	1	1	1	0	1	
99	31	9	7	1	1	1	1	1	
100	30	8	11	1	1	1	1	1	
101	29	8	9	1	2	1	1	1	
102	29	8	11	1	1	1	0	0	
103	28	9	10	1	1	1	0	1	
104	29	9	11	1	1	1	1	1	
105	29	9	5	0	1	1	1	2	
106	27	9	8	1	1	1	0	1	
107	26	10	9	1	1	1	1	1	
108	25	10	9	1	1	1	1	1	
109	25	8	8	1	1	1	0	1	
110	25	9	14	0	1	1	0	0	
111	25	9	9	1	1	1	1	1	
112	24	9	7	1	1	1	0	1	
113	24	10	8	0	1	1	0	1	
114	24	9	7	0	1	1	0	0	
115	23	9	9	0	1	1	0	1	
116	22	9	5	0	1	1	0	1	
117	21	9	8	0	1	1	0	1	
118	21	8	11	0	1	1	0	1	
119	20	8	13	0	1	1	0	1	
120	21	9	10	0	1	1	1	1	
121	21	10	14	1	1	1	1	1	
122	20	10	9	1	1	1	0	1	
123	19	10	9	1	1	1	1	0	
124	18	9	11	1	1	1	0	0	
125	18	8	8	0	1	1	1	1	
126	19	9	10	0	2	1	1	1	
127	18	9	16	0	1	1	1	1	
128	18	9	12	0	1	1	1	0	
129	17	9	8	1	1	1	1	0	
130	17	9	6	1	1	1	1	1	
131	16	8	6	1	1	1	1	1	
132	16	8	10	1	1	1	1	1	
133	15	9	6	1	1	1	1	2	
134	15	8	6	0	1	1	1	1	
