41	187	3	7	1	1	1	1	1	
42	186	5	5	1	1	1	1	1	
43	183	14	8	1	1	1	1	1	
44	179	19	8	1	1	1	1	2	
45	255	25	12	0	1	1	1	1	
46	423	29	7	1	1	1	1	1	
47	508	32	9	1	1	1	1	1	
48	525	34	13	0	1	1	1	1	
49	512	34	10	0	1	1	1	1	
50	478	33	6	1	1	1	1	1	
51	445	32	8	1	1	1	1	1	
52	426	31	7	0	1	1	1	1	
53	407	30	11	1	1	1	1	1	
54	385	29	14	1	1	1	1	1	
55	365	27	10	0	1	1	1	2	
56	345	26	13	1	1	1	1	1	
57	325	23	12	0	1	1	1	1	
58	303	22	9	0	1	1	1	1	
59	282	23	10	0	1	1	1	1	
60	263	23	12	0	1	1	1	1	
61	244	23	10	0	1	1	1	1	
62	228	24	8	0	1	1	1	1	
63	213	25	17	0	1	1	1	1	
64	200	24	22	0	1	1	1	1	
65	186	23	17	0	1	1	1	1	
66	174	21	14	0	1	1	1	1	
67	164	18	12	0	1	1	1	1	
68	156	19	11	0	1	1	1	1	
69	147	19	13	0	1	1	1	2	
70	138	20	15	1	1	1	1	1	
71	130	21	4	0	1	1	1	1	
72	123	20	9	0	1	1	1	1	
73	116	19	9	0	1	1	1	1	
74	110	18	9	0	1	1	1	1	
75	105	19	12	0	1	1	1	1	
76	100	19	7	1	1	1	1	1	
77	95	19	5	1	1	1	1	1	
78	90	20	12	0	1	1	1	1	
79	87	20	13	0	1	1	1	1	
80	82	19	12	0	1	1	1	1	
81	78	19	11	0	1	1	1	1	
82	75	19	7	0	1	1	1	1	
83	72	18	16	0	1	1	1	1	
84	70	17	6	1	1	1	1	1	
85	67	17	11	1	1	1	1	1	
86	64	17	12	0	1	1	1	1	
87	61	17	14	0	2	1	1	1	
88	59	17	8	0	1	1	1	1	
89	56	16	9	1	1	1	1	1	
90	54	16	7	1	1	1	1	1	
91	53	17	7	0	1	1	1	1	
92	51	18	6	1	1	1	1	1	
93	49	17	6	1	1	1	1	1	
94	47	16	11	1	1	1	1	1	
95	46	17	11	1	1	1	1	1	
96	44	17	5	0	1	1	1	1	
97	44	16	12	0	1	2	1	1	
98	43	17	13	1	2	1	1	1	
99	41	17	9	1	1	1	1	1	
100	40	17	6	1	1	1	1	1	
101	39	17	5	0	1	1	1	1	
102	38	17	4	1	1	1	1	1	
103	36	17	8	1	1	2	1	2	
104	35	16	7	1	1	2	1	1	
105	34	16	9	1	1	1	1	1	
