158	Debugging	3207	2937	170	172	-247	-136	1496	1517	
159	Debugging	3143	2826	170	171	-248	-137	1499	1508	
160	Debugging	3061	2673	170	171	-248	-136	1501	1505	
161	Debugging	2912	2537	165	171	-247	-136	1466	1511	
162	Debugging	2721	2308	158	159	-244	-135	1416	1438	
163	Debugging	2479	2057	136	146	-240	-132	1227	1285	
164	Debugging	2187	1789	136	165	-233	-128	1185	1418	
165	Debugging	1883	1502	155	172	-221	-125	1335	1514	
166	Debugging	1563	1211	161	172	-208	-121	1419	1522	
167	Debugging	1229	908	154	169	-199	-115	1371	1497	
168	Debugging	910	645	144	166	-188	-108	1284	1475	
169	Debugging	655	468	132	159	-172	-100	1182	1418	
170	Debugging	497	378	125	150	-156	-92	1111	1338	
171	Debugging	388	308	119	142	-142	-85	1062	1259	
172	Debugging	320	256	115	136	-128	-79	1021	1207	
173	Debugging	266	219	112	129	-116	-71	990	1143	
174	Debugging	224	188	107	125	-105	-64	952	1105	
175	Debugging	193	163	102	120	-92	-60	906	1069	
176	Debugging	165	140	98	113	-80	-55	876	1010	
177	Debugging	142	121	94	107	-71	-50	834	954	
178	Debugging	123	106	89	100	-63	-46	791	892	
179	Debugging	108	92	84	94	-55	-44	752	835	
180	Debugging	96	82	81	88	-48	-42	721	786	
181	Debugging	85	72	78	82	-43	-37	691	735	
182	Debugging	76	63	73	77	-39	-32	657	691	
183	Debugging	69	56	69	72	-32	-30	618	648	
184	Debugging	62	50	66	68	-27	-28	587	614	
185	Debugging	57	46	62	65	-25	-24	553	580	
186	Debugging	52	43	59	62	-23	-20	526	555	
187	Debugging	48	39	56	59	-21	-20	499	531	
188	Debugging	44	37	52	55	-20	-20	472	504	
189	Debugging	40	33	49	51	-20	-18	443	469	
190	Debugging	35	30	44	45	-21	-16	406	424	
191	Debugging	31	28	41	41	-20	-16	382	394	
192	Debugging	29	26	35	34	-18	-15	345	349	
193	Debugging	26	25	31	34	-17	-14	300	291	
194	Debugging	24	22	35	39	-16	-12	244	269	
195	Debugging	23	21	40	41	-14	-12	292	349	
196	Debugging	20	17	36	39	-13	-11	331	352	
197	Debugging	19	16	36	37	-13	-10	320	336	
198	Debugging	18	14	34	35	-13	-11	306	318	
199	Debugging	16	12	33	34	-15	-12	297	308	
200	Debugging	14	12	32	32	-16	-14	283	293	
201	Debugging	14	10	30	31	-19	-14	269	278	
202	Debugging	13	11	29	30	-22	-16	260	272	
203	Debugging	12	9	28	29	-23	-17	251	262	
204	Debugging	11	8	27	28	-24	-18	240	253	
205	Debugging	10	8	26	27	-25	-19	233	246	
206	Debugging	10	9	25	27	-27	-18	224	238	
207	Debugging	10	8	24	26	-27	-18	215	232	
