157	Debugging	-244	-162	165	166	3506	3612	1454	1467	
158	Debugging	-244	-161	165	167	3506	3612	1453	1471	
159	Debugging	-243	-160	164	168	3504	3608	1446	1480	
160	Debugging	-241	-136	162	162	3501	3581	1434	1440	
161	Debugging	-239	-71	162	146	3496	3511	1431	1311	
162	Debugging	-176	-39	153	142	3430	3472	1377	1234	
163	Debugging	-87	-44	131	165	3337	3476	1184	1417	
164	Debugging	5	-51	124	167	3235	3482	1099	1475	
165	Debugging	57	-58	133	166	3174	3489	1147	1461	
166	Debugging	87	-66	143	166	3137	3494	1254	1463	
167	Debugging	107	-73	148	167	3108	3499	1302	1471	
168	Debugging	164	-104	143	165	3043	3529	1278	1460	
169	Debugging	229	-172	137	164	2967	3597	1213	1445	
170	Debugging	239	-202	130	163	2935	3626	1163	1436	
171	Debugging	216	-179	122	159	2906	3596	1092	1413	
172	Debugging	185	-140	112	151	2858	3540	1005	1344	
173	Debugging	190	-96	107	143	2765	3458	949	1274	
174	Debugging	213	-52	108	134	2666	3348	950	1194	
175	Debugging	241	-14	111	125	2557	3220	977	1116	
176	Debugging	231	27	110	115	2470	3068	972	1028	
177	Debugging	208	64	105	106	2385	2897	936	950	
178	Debugging	179	95	100	98	2306	2710	892	878	
179	Debugging	155	109	96	91	2243	2523	850	812	
180	Debugging	133	108	91	84	2192	2340	811	753	
181	Debugging	115	101	86	78	2133	2167	769	703	
182	Debugging	102	94	82	73	2047	2010	728	651	
183	Debugging	88	90	78	69	1955	1866	696	615	
184	Debugging	79	84	74	65	1861	1734	656	579	
185	Debugging	73	79	70	61	1770	1616	622	548	
186	Debugging	66	75	66	58	1682	1511	590	516	
187	Debugging	61	71	63	55	1595	1418	561	488	
188	Debugging	56	67	60	52	1515	1337	533	466	
189	Debugging	51	64	57	50	1440	1266	509	448	
190	Debugging	47	61	55	48	1370	1205	488	434	
191	Debugging	45	59	52	47	1301	1149	467	418	
192	Debugging	42	57	50	45	1241	1096	444	400	
193	Debugging	40	54	47	42	1183	1046	424	381	
194	Debugging	39	53	45	41	1127	1002	405	363	
195	Debugging	36	50	43	39	1075	961	385	346	
196	Debugging	34	48	41	37	1024	919	366	330	
197	Debugging	33	47	39	35	975	878	348	317	
198	Debugging	31	43	37	34	927	841	330	306	
199	Debugging	28	40	35	33	882	804	313	295	
200	Debugging	26	38	33	32	838	770	298	285	
201	Debugging	24	37	32	31	797	740	285	276	
202	Debugging	21	35	30	30	757	712	274	268	
203	Debugging	21	32	29	29	715	687	261	262	
204	Debugging	19	31	28	28	679	666	250	255	
205	Debugging	17	29	27	27	643	645	241	248	
206	Debugging	17	28	25	27	608	626	230	240	
