135	Debugging	-56	-229	22	33	768	987	202	294	
136	Debugging	-56	-230	22	33	768	988	202	293	
137	Debugging	-56	-229	23	33	767	988	202	294	
138	Debugging	-56	-230	23	33	767	988	202	293	
139	Debugging	-57	-229	22	33	766	987	202	294	
140	Debugging	-56	-229	23	33	766	987	202	295	
141	Debugging	-56	-229	23	33	765	988	201	294	
142	Debugging	-57	-229	22	33	765	988	201	294	
143	Debugging	-57	-229	22	33	764	988	201	294	
144	Debugging	-56	-227	23	33	764	987	201	295	
145	Debugging	42	-219	26	33	764	985	210	294	
146	Debugging	42	-220	51	33	764	985	232	296	
147	Debugging	43	-226	27	33	764	985	204	295	
148	Debugging	42	-226	28	41	701	893	150	223	
149	Debugging	43	-225	27	40	638	801	165	242	
150	Debugging	43	-224	22	32	576	708	204	299	
151	Debugging	42	-225	23	33	513	616	202	294	
152	Debugging	42	-226	25	32	450	525	187	292	
153	Debugging	-56	-235	41	33	387	435	196	293	
154	Debugging	-57	-235	23	33	324	343	204	294	
155	Debugging	-57	-232	23	33	261	252	201	292	
156	Debugging	-57	-232	22	33	261	252	201	294	
157	Debugging	-58	-231	22	33	261	252	201	294	
158	Debugging	-58	-231	22	33	261	252	201	294	
159	Debugging	-58	-233	23	33	260	252	202	293	
160	Debugging	-58	-232	22	33	260	252	202	292	
161	Debugging	-58	-231	22	33	260	251	201	293	
162	Debugging	-58	-231	22	33	260	251	201	294	
163	Debugging	-58	-229	22	33	260	250	201	293	
164	Debugging	-58	-230	22	33	260	250	201	294	
165	Debugging	-58	-231	22	33	260	250	200	292	
166	Debugging	-58	-231	22	33	260	250	200	292	
167	Debugging	-58	-229	22	33	260	249	201	291	
168	Debugging	-59	-229	22	33	260	249	200	293	
169	Debugging	-58	-229	22	33	259	249	200	292	
170	Debugging	-58	-229	22	33	259	249	200	292	
171	Debugging	-58	-230	23	33	259	249	201	292	
172	Debugging	-58	-228	22	33	259	249	201	293	
173	Debugging	-59	-228	22	33	259	250	201	292	
174	Debugging	-58	-229	22	33	259	251	201	293	
175	Debugging	-59	-230	22	33	259	251	201	292	
176	Debugging	-58	-232	22	33	259	252	201	293	
177	Debugging	-58	-232	22	33	259	252	200	293	
178	Debugging	-59	-230	22	33	259	250	201	293	
179	Debugging	-59	-230	22	33	259	249	201	292	
180	Debugging	-59	-232	22	33	259	249	201	293	
181	Debugging	-58	-231	22	33	259	248	200	292	
182	Debugging	-58	-232	22	33	259	248	201	293	
183	Debugging	-57	-232	23	33	258	249	201	293	
184	Debugging	-57	-232	22	33	258	248	201	293	
185	Debugging	-57	-234	22	33	258	248	201	294	
186	Debugging	-57	-236	22	33	258	251	201	293	
187	Debugging	-57	-236	23	33	258	252	202	293	
188	Debugging	-57	-236	22	33	258	251	201	292	
189	Debugging	-57	-237	22	33	258	252	201	292	
190	Debugging	-57	-236	23	33	257	252	201	294	
191	Debugging	-58	-235	23	33	259	251	205	292	
192	Debugging	-58	-235	40	111	259	251	227	368	
193	Debugging	-58	-232	182	189	259	252	334	378	
194	Debugging	-58	-232	301	342	258	251	422	525	
195	Debugging	-58	-232	384	395	258	252	501	550	
196	Debugging	-58	-233	413	403	258	252	516	548	
197	Debugging	-58	-231	424	403	258	251	524	547	
198	Debugging	-57	-232	427	402	259	251	525	547	
199	Debugging	-57	-231	425	402	261	253	525	546	
200	Debugging	-57	-231	422	398	272	263	520	539	
201	Debugging	-57	-232	376	386	288	276	457	517	
202	Debugging	-57	-234	312	333	305	290	380	440	
203	Debugging	-57	-232	187	279	321	295	233	372	
204	Debugging	-57	-231	117	175	332	299	167	255	
205	Debugging	-56	-231	48	118	339	299	114	207	
206	Debugging	-56	-230	22	66	341	296	100	174	
207	Debugging	-57	-230	12	36	339	292	90	159	
208	Debugging	-57	-232	8	21	327	277	81	150	
209	Debugging	-57	-230	8	16	309	257	75	140	
210	Debugging	-58	-229	8	14	289	238	69	131	
211	Debugging	-60	-230	7	14	271	223	67	125	
212	Debugging	-60	-230	6	14	254	209	63	123	
213	Debugging	-61	-230	6	13	240	197	59	118	
214	Debugging	-63	-230	6	12	233	187	56	113	
215	Debugging	-63	-231	6	12	223	177	54	109	
216	Debugging	-63	-229	5	12	213	167	52	106	
217	Debugging	-63	-229	5	11	203	157	48	103	
218	Debugging	-64	-231	5	11	194	149	45	100	
219	Debugging	-63	-232	5	11	183	140	44	98	
220	Debugging	-62	-234	4	10	173	133	42	96	
221	Debugging	-63	-234	4	10	164	125	39	94	
222	Debugging	-61	-236	4	10	153	117	37	90	
223	Debugging	-61	-236	4	10	144	111	37	89	
224	Debugging	-61	-238	4	10	136	104	36	89	
225	Debugging	-61	-238	3	9	128	97	35	88	
226	Debugging	-60	-236	3	9	121	89	33	85	
227	Debugging	-58	-234	3	9	113	83	31	83	
228	Debugging	-58	-234	3	9	108	77	30	80	
229	Debugging	-58	-234	3	8	103	71	29	77	
230	Debugging	-57	-233	3	8	97	66	29	77	
231	Debugging	-57	-232	3	9	93	60	29	78	
232	Debugging	-57	-231	3	8	90	55	27	77	
